# Band error: ours vs libvorbis, both via our decoder

## nik @ 96k (ours 84.0 vs ref 84.5 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
9500-12000     -8.7    -7.2   -1.5    -0.1    -0.3
12000-15500     -2.8    -2.8    0.0    -1.6    -0.1
15500-24000     -2.6    -9.3    6.7    -2.7    -0.2
broadband corr: ours 0.9914 ref 0.9968

## dl8a @ 96k (ours 86.9 vs ref 86.9 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -12.7   -21.2    8.5    -0.1    -0.1
200-300     -13.3   -22.7    9.5    -0.2    -0.1
300-400     -10.2   -20.8   10.7    -0.3    -0.1
400-510      -9.9   -21.1   11.2    -0.4    -0.1
510-630     -11.1   -23.8   12.7    -0.2    -0.0
630-770     -12.2   -24.1   11.9    -0.2    -0.0
770-920     -11.1   -21.1   10.0    -0.2    -0.1
920-1080     -7.9   -15.7    7.9    -0.6    -0.2
1080-1270     -9.2   -15.3    6.2    -0.5    -0.2
1270-1480    -10.5   -14.6    4.1    -0.3    -0.3
1480-1720     -9.2   -12.1    2.9    -0.5    -0.3
1720-2000     -7.9   -11.5    3.6    -0.7    -0.3
2000-2320     -6.6    -9.7    3.1    -0.9    -0.3
2320-2700     -6.6    -9.8    3.2    -1.0    -0.4
2700-3150     -6.1    -9.8    3.7    -1.1    -0.4
3150-3700     -6.7    -9.7    3.0    -1.0    -0.4
3700-4400     -6.4    -9.1    2.7    -0.7    -0.4
4400-5300     -7.1    -9.5    2.4    -0.1    -0.4
5300-6400     -5.7    -7.8    2.1    -0.6    -0.2
6400-7700     -5.4    -7.1    1.7    -0.8     0.0
7700-9500     -5.7    -6.6    0.8    -0.8     0.2
9500-12000     -6.2    -7.3    1.1    -0.7     0.0
12000-15500     -4.3    -5.6    1.3    -1.2     0.4
15500-24000     -3.4    -1.9   -1.5    -2.1    -3.3
broadband corr: ours 0.9655 ref 0.9916

## dl8a @ 128k (ours 118.7 vs ref 117.8 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -16.2   -24.7    8.6    -0.0    -0.1
200-300     -16.9   -26.2    9.3    -0.1    -0.0
300-400     -13.2   -24.9   11.7    -0.1    -0.0
400-510     -12.9   -25.7   12.8    -0.2    -0.0
510-630     -13.9   -28.5   14.6    -0.1     0.0
630-770     -15.1   -28.7   13.6    -0.1     0.0
770-920     -14.0   -25.7   11.6    -0.1    -0.0
920-1080    -10.4   -20.0    9.6    -0.3    -0.1
1080-1270    -12.0   -19.6    7.6    -0.3    -0.1
1270-1480    -13.2   -18.9    5.7    -0.2    -0.2
1480-1720    -11.9   -15.8    3.9    -0.2    -0.2
1720-2000    -10.3   -14.6    4.3    -0.3    -0.2
2000-2320     -9.1   -12.3    3.2    -0.4    -0.3
2320-2700     -9.2   -12.5    3.3    -0.5    -0.3
2700-3150     -8.8   -12.1    3.3    -0.5    -0.4
3150-3700     -9.3   -11.8    2.5    -0.5    -0.3
3700-4400     -8.9   -11.2    2.3    -0.2    -0.3
4400-5300     -9.3   -11.7    2.5     0.2    -0.4
5300-6400     -8.1   -10.0    1.9    -0.0    -0.3
6400-7700     -7.8    -9.2    1.4    -0.1    -0.4
7700-9500     -8.2    -7.8   -0.4    -0.2    -0.3
9500-12000     -8.9    -8.5   -0.4    -0.2    -0.4
12000-15500     -6.2    -6.6    0.4    -0.5    -0.3
15500-24000     -4.8    -9.9    5.0    -1.4    -0.4
broadband corr: ours 0.9826 ref 0.9957

