# sadie@12k SILK oracle: ours vs ffmpeg-libopus indices (r1)
# mono, 120s, 20ms frames, VBR constrained, 48kHz, Application::Voip
# ours_frames=6000 ref_frames=6001
# sig: 0=unvoiced 2=voiced | per: LTP codebook | nlsf_i: 4=nointerp
# gains/ltp are 4 subframe indices; lag/contour only for voiced

=== second 3 (frames 150–199) ===
frame  side sig qoff gains[4]        nlsf_i lag  cont per ltp[4]         ltpscl seed bytes
 1975  O    2   0  [49, 0, 0, 1]   4      58    3   2   [7,7,18,25]   0     0   17
 1975  R    2   0  [29, 4, 3, 3]   4      59    2   2   [16,16,14,5]   0     0   23
 1976  O    2   0  [43, 2, 0, 1]   4     147    3   1   [15,2,10,2]   0     0   25
 1976  R    2   0  [27, 5, 4, 4]   4      58    1   2   [19,26,10,20]   0     2   26
 1977  O    2   0  [41, 0, 4, 3]   4      56    3   0   [1,0,3,7]   0     0   33
 1977  R    2   0  [28, 3, 4, 4]   4      57    2   2   [26,5,5,15]   0     1   19
 1978  O    2   0  [40, 0, 3, 5]   4      56    3   1   [2,2,15,0]   0     0   23
 1978  R    2   0  [27, 4, 4, 4]   4      57    4   2   [24,13,4,19]   0     1   21
 1979  O    2   0  [35, 2, 0, 1]   4      56    3   2   [25,31,0,18]   0     0   36
 1979  R    2   0  [28, 4, 3, 4]   2      57    0   2   [2,2,24,1]   0     1   20
 1980  O    2   0  [42, 6, 1,10]   4     219    3   0   [1,1,1,0]   0     0   44
 1980  R    2   0  [26, 3, 4, 5]   1      55   11   2   [2,19,28,7]   0     2   30
 1981  O    2   0  [50, 3, 0, 3]   4     143    3   0   [1,1,1,3]   0     0   17
 1981  R    2   0  [31, 2, 9, 3]   4     149    5   2   [7,7,28,28]   0     1   33
 1982  O    2   0  [43, 0, 7, 0]   4     155    3   1   [3,10,2,0]   0     0   18
 1982  R    2   0  [33, 6, 1, 5]   4     153   13   2   [2,7,30,22]   0     2   31
 1983  O    2   0  [40, 0, 0, 0]   4     142    3   1   [3,15,3,3]   0     0   41
 1983  R    2   0  [31, 4, 2, 2]   2     144   17   2   [10,2,25,18]   0     0   21
 1984  O    2   0  [36, 2, 1, 1]   4     106    3   2   [7,7,10,7]   0     0   24
 1984  R    2   0  [27, 2, 3, 4]   4     145   13   0   [0,0,2,0]   0     1   27
 1985  O    2   0  [32, 0, 7, 8]   4     105    3   1   [3,3,0,10]   0     0   31
 1985  R    1   0  [23, 1, 4, 8]   3       -    -   -   [-,-,-,-]   -     0   27
 1986  O    2   0  [27, 0, 3, 9]   4      35    7   0   [1,1,1,5]   0     0   28
 1986  R    1   0  [28, 0, 0, 2]   4       -    -   -   [-,-,-,-]   -     3   27
 1987  O    2   0  [25, 0,11, 3]   4     221    3   2   [7,7,21,0]   0     0   30
 1987  R    1   0  [19, 4, 2, 9]   4       -    -   -   [-,-,-,-]   -     1   26
 1988  O    2   0  [24, 1, 1, 1]   4     193    3   0   [1,1,1,1]   0     0   17
 1988  R    1   0  [22, 0, 0, 2]   4       -    -   -   [-,-,-,-]   -     1   23
 1989  O    2   0  [12, 3, 4, 3]   4     173    3   1   [3,15,15,3]   0     0   30
 1989  R    0   1  [12, 4, 4, 4]   4       -    -   -   [-,-,-,-]   -     2   21
 1990  O    2   0  [11, 5, 2, 4]   4      26   17   2   [7,18,7,7]   0     0   40
 1990  R    0   1  [12, 4, 4, 4]   4       -    -   -   [-,-,-,-]   -     0   19
 1991  O    2   0  [10, 4, 4, 4]   4     237    3   2   [7,7,7,7]   0     0   28
 1991  R    0   1  [11, 3, 4, 4]   4       -    -   -   [-,-,-,-]   -     0   20
 1992  O    2   0  [ 9, 3, 4, 4]   4     129    3   1   [10,3,2,3]   0     0   25
 1992  R    0   1  [10, 4, 3, 4]   4       -    -   -   [-,-,-,-]   -     0   20
 1993  O    2   0  [ 7, 4, 5, 3]   4     230    3   0   [0,1,1,0]   0     0   28
 1993  R    0   1  [ 9, 4, 4, 4]   4       -    -   -   [-,-,-,-]   -     1   20
 1994  O    2   0  [ 6, 5, 3, 4]   4     174    3   2   [7,31,7,7]   0     0   34
 1994  R    0   1  [ 9, 4, 4, 4]   4       -    -   -   [-,-,-,-]   -     0   21
 1995  O    2   0  [ 5, 4, 5, 5]   4     234    3   1   [15,3,7,10]   0     0   30
 1995  R    0   1  [ 8, 4, 4, 4]   4       -    -   -   [-,-,-,-]   -     3   16
 1996  O    2   0  [30, 0, 8, 8]   4      24    1   2   [24,7,31,28]   0     0   31
 1996  R    1   0  [18,11, 3, 8]   4       -    -   -   [-,-,-,-]   -     0   21
 1997  O    2   0  [38, 3, 6, 2]   4      47    0   2   [3,18,25,25]   0     0   30
 1997  R    2   0  [31, 5, 4, 6]   4      48    1   2   [7,15,10,29]   0     1   38
 1998  O    2   0  [40, 3, 3, 5]   4      49    3   1   [15,13,2,2]   0     0   32
 1998  R    2   0  [34, 4, 4, 4]   4      50    3   2   [23,1,29,3]   0     1   34
 1999  O    2   0  [44, 2, 3, 2]   4      50    3   2   [31,25,25,31]   0     0   25
 1999  R    2   0  [34, 4, 4, 4]   4      51    3   2   [3,1,6,3]   0     0   20

=== second 51 (frames 2550–2599) ===
frame  side sig qoff gains[4]        nlsf_i lag  cont per ltp[4]         ltpscl seed bytes
 2550  O    2   0  [44, 2, 6, 4]   4      39    1   1   [0,3,3,0]   0     0   42
 2550  R    2   0  [29, 4, 5, 6]   4      39    8   2   [0,0,0,29]   0     1   33
 2551  O    2   0  [63, 4, 4, 4]   4      41    1   1   [0,3,3,3]   0     0   14
 2551  R    2   0  [32, 4, 4, 5]   1      42    3   2   [16,22,4,8]   0     1   31
 2552  O    2   0  [63, 4, 4, 4]   4      42   11   0   [1,1,1,1]   0     0   14
 2552  R    2   0  [34, 4, 4, 4]   1      43    0   2   [13,16,3,4]   0     3   29
 2553  O    2   0  [16, 0, 0, 0]   4      43    1   0   [1,0,2,2]   0     0   60
 2553  R    2   0  [34, 4, 4, 4]   3      44    3   2   [3,13,16,6]   0     0   33
 2554  O    2   0  [47, 0, 2, 6]   4      43    2   1   [14,5,0,1]   0     0   24
 2554  R    2   0  [34, 4, 4, 4]   4      44    0   2   [4,9,13,0]   0     3   33
 2555  O    2   0  [47, 0, 1, 5]   4      42    1   2   [25,31,25,18]   0     0   25
 2555  R    2   0  [33, 4, 4, 4]   1      44    0   2   [12,9,16,1]   0     1   27
 2556  O    2   0  [43, 0, 5, 2]   4      41    2   2   [31,18,31,31]   0     0   28
 2556  R    2   0  [33, 4, 3, 4]   4      44    0   2   [20,13,22,2]   0     0   25
 2557  O    2   0  [39, 1, 6, 4]   4      41   17   2   [10,25,31,7]   0     0   30
 2557  R    2   0  [31, 4, 4, 4]   4      44    3   2   [3,2,2,2]   0     1   22
 2558  O    2   0  [39, 2, 5, 4]   4      40    2   2   [18,18,31,31]   0     0   33
 2558  R    2   0  [31, 4, 4, 4]   4      43    5   2   [5,4,3,1]   0     3   29
 2559  O    2   0  [43, 3, 1, 2]   4      39    1   1   [15,15,2,15]   0     0   26
 2559  R    2   0  [31, 3, 4, 4]   4      42    5   2   [10,3,3,8]   0     0   26
 2560  O    2   0  [41, 4, 0, 3]   4      39    1   2   [31,25,25,25]   0     0   21
 2560  R    2   0  [30, 4, 4, 4]   4      42    0   2   [3,6,14,14]   0     0   23
 2561  O    2   0  [37, 3, 2, 5]   4      38    1   2   [7,18,31,31]   0     0   33
 2561  R    2   0  [29, 4, 4, 4]   4      42    0   2   [4,22,1,2]   0     3   32
 2562  O    2   0  [38, 4, 4, 4]   4      37    1   2   [18,18,31,30]   0     0   31
 2562  R    2   0  [29, 3, 4, 4]   4      42    0   2   [1,1,5,2]   0     1   18
 2563  O    2   0  [39, 3, 3, 5]   4      37    1   1   [10,10,15,10]   0     0   30
 2563  R    2   0  [28, 4, 4, 4]   4      42    0   2   [1,17,16,17]   0     0   27
 2564  O    2   0  [36, 3, 4, 4]   4      37    1   1   [15,3,15,15]   0     0   34
 2564  R    2   0  [28, 4, 4, 4]   4      42    0   2   [1,13,17,5]   0     0   24
 2565  O    2   0  [39, 2, 4, 5]   4      37    1   2   [7,18,18,18]   0     0   27
 2565  R    2   0  [28, 4, 4, 4]   2      42    0   2   [16,0,8,15]   0     1   21
 2566  O    2   0  [37, 2, 3, 3]   4      38    1   2   [30,27,30,31]   0     0   38
 2566  R    2   0  [28, 4, 4, 4]   1      43    3   2   [6,2,1,20]   0     3   25
 2567  O    2   0  [34, 3, 3, 1]   4      39    1   1   [3,3,9,15]   0     0   30
 2567  R    2   0  [28, 2, 4, 4]   4      43    1   0   [4,4,3,7]   0     1   37
 2568  O    2   0  [32, 2, 6, 7]   4      40   17   0   [3,5,0,5]   0     0   27
 2568  R    2   0  [25, 4, 6, 6]   2      48    3   1   [0,1,12,3]   0     2   34
 2569  O    2   0  [27, 0, 3, 1]   4      38    2   2   [7,7,7,7]   0     0   29
 2569  R    1   0  [29, 0, 1, 4]   4       -    -   -   [-,-,-,-]   -     1   24
 2570  O    2   0  [17, 2, 3, 2]   4      40   17   2   [7,7,7,7]   0     0   29
 2570  R    1   0  [19, 2, 2, 2]   4       -    -   -   [-,-,-,-]   -     2   19
 2571  O    2   0  [25,20, 0, 7]   4     145    3   2   [7,25,11,26]   0     0   31
 2571  R    1   0  [12,21,12, 5]   0       -    -   -   [-,-,-,-]   -     3   34
 2572  O    2   0  [45, 6, 3, 4]   4     241    3   2   [31,19,27,30]   0     0   26
 2572  R    1   0  [40, 7, 6, 4]   4       -    -   -   [-,-,-,-]   -     1   27
 2573  O    1   1  [45, 3, 3, 3]   4       -    -   -   [-,-,-,-]   -     0   26
 2573  R    1   1  [45, 4, 4, 3]   4       -    -   -   [-,-,-,-]   -     3   31
 2574  O    2   0  [42, 0, 1, 6]   4      28    4   0   [1,1,1,7]   0     0   37
 2574  R    1   0  [43, 3, 1, 4]   4       -    -   -   [-,-,-,-]   -     3   27
 2575  O    2   0  [38, 3, 0, 3]   4      41   17   1   [12,1,10,15]   0     0   29
 2575  R    1   0  [37, 3, 2, 1]   4       -    -   -   [-,-,-,-]   -     2   28
 2576  O    2   0  [28, 3, 3, 2]   4      47    0   1   [0,0,12,12]   0     0   30
 2576  R    1   1  [28, 3, 2, 3]   4       -    -   -   [-,-,-,-]   -     0   35
 2577  O    2   0  [24, 4, 1, 3]   4      45    1   2   [18,19,27,7]   0     0   30
 2577  R    1   1  [23, 4, 3, 3]   4       -    -   -   [-,-,-,-]   -     0   27
 2578  O    2   0  [17, 2, 4, 4]   4     226    3   1   [3,3,3,12]   0     0   28
 2578  R    1   1  [19, 3, 3, 3]   2       -    -   -   [-,-,-,-]   -     0   26
 2579  O    2   0  [15, 2, 2, 5]   4     195    3   2   [7,7,7,7]   0     0   31
 2579  R    0   1  [16, 4, 3, 2]   4       -    -   -   [-,-,-,-]   -     0   19
 2580  O    2   0  [38, 6, 0, 7]   4      23   12   2   [31,7,7,25]   0     0   32
 2580  R    1   0  [26,11, 7, 3]   4       -    -   -   [-,-,-,-]   -     0   30
 2581  O    2   0  [44, 4, 4, 5]   4      39   13   2   [27,25,7,7]   0     0   30
 2581  R    2   0  [35, 6, 4, 4]   4      44   10   1   [3,1,2,2]   0     0   38
 2582  O    2   0  [45, 4, 9, 0]   4      46   12   0   [7,3,7,2]   0     0   28
 2582  R    2   0  [38, 5, 5, 9]   2      47    1   2   [18,10,22,10]   0     1   35
 2583  O    2   0  [46, 1, 4, 3]   4      48    3   2   [25,2,0,19]   0     0   33
 2583  R    2   0  [45, 0, 4, 3]   2      48    3   2   [0,15,1,3]   0     3   22
 2584  O    2   0  [43, 1, 4, 6]   4      48    3   2   [25,4,0,28]   0     0   29
 2584  R    2   0  [40, 3, 4, 4]   4      48    0   2   [3,3,15,0]   0     3   20
 2585  O    2   0  [44, 2, 5, 3]   4      47    0   2   [25,18,4,3]   0     0   28
 2585  R    2   0  [39, 4, 4, 4]   4      48    0   1   [1,1,1,1]   0     3   24
 2586  O    2   0  [46, 0, 4, 4]   4      46    1   0   [3,4,2,7]   0     0   31
 2586  R    2   0  [39, 3, 4, 3]   1      47    5   2   [10,10,10,19]   0     2   28
 2587  O    2   0  [43, 0, 0, 3]   4      48    3   1   [9,3,10,0]   0     0   33
 2587  R    2   0  [36, 2, 0, 2]   4      47    8   0   [3,0,0,3]   0     0   37
 2588  O    2   0  [33, 4, 0, 3]   4      47    4   2   [25,18,7,18]   0     0   30
 2588  R    2   0  [26, 3, 7, 3]   1      48    9   1   [10,0,14,0]   0     0   39
 2589  O    2   0  [37, 1, 0, 2]   4      47   12   0   [3,0,1,2]   0     0   30
 2589  R    2   0  [26, 9, 3, 0]   4      48    8   0   [3,0,0,0]   0     0   32
 2590  O    2   0  [32, 5, 0, 7]   4      40   11   0   [4,1,1,1]   0     0   28
 2590  R    2   1  [24, 8, 8, 0]   1      52   22   1   [0,3,0,3]   0     1   27
 2591  O    2   0  [29, 7,11, 0]   4     226    3   1   [3,12,3,2]   0     0   30
